Noemi,Allard,ST ETIENNE 42000,04.09.82.11.17,noemi.allard@outlook.fr,boulanger,10/05/1993
,Guyot,MARSEILLE 13011,04.71.83.90.77,aurore-margot.guyot@hotmail.fr,ouvrier,07/07/1991
Alexandre-Luc,Daniel,PARIS 75004,01.88.19.10.32,alexandre-luc.daniel@gmail.com,journaliste,08/01/1977
Lucas,Peltier,,04.59.99.22.27,lucas.peltier@yahoo.fr,chercheur,07/01/1983
,Foucher,PARIS 75013,01.52.03.68.76,,chauffeur,05/01/1989
Guillaume,Antoine,MARSEILLE 13008,04.50.19.32.99,guillaume.antoine@gmail.com,,
Claire,Mace,NANTES 44200,02.54.68.59.39,claire.mace@yahoo.fr,banquier,
Isabelle,Pottier-Martel,PARIS 75015,01.26.01.23.94,,barman,26/08/1991
,Laroche,MARSEILLE 13012,04.64.04.89.99,gilbert.laroche@hotmail.fr,agriculteur,19/03/1981
Madeleine,Renault,PARIS 75019,01.59.32.79.23,madeleine.renault@gmail.com,,26/06/2000
